N	x	y	u	u*	|u - u*|
10	2	0	4.000000e+00	4.000000e+00	0.000000e+00
11	2.200000e+00	0.000000e+00	4.840000e+00	4.840000e+00	0.000000e+00
12	2.400000e+00	0.000000e+00	5.760000e+00	5.760000e+00	0.000000e+00
13	2.600000e+00	0.000000e+00	6.760000e+00	6.760000e+00	0.000000e+00
14	2.800000e+00	0.000000e+00	7.840000e+00	7.840000e+00	0.000000e+00
15	3.000000e+00	0.000000e+00	9.000000e+00	9.000000e+00	0.000000e+00
16	3.200000e+00	0.000000e+00	1.024000e+01	1.024000e+01	0.000000e+00
17	3.400000e+00	0.000000e+00	1.156000e+01	1.156000e+01	0.000000e+00
18	3.600000e+00	0.000000e+00	1.296000e+01	1.296000e+01	0.000000e+00
19	3.800000e+00	0.000000e+00	1.444000e+01	1.444000e+01	0.000000e+00
20	4.000000e+00	0.000000e+00	1.600000e+01	1.600000e+01	0.000000e+00
41	2.000000e+00	2.000000e-01	4.040000e+00	4.040000e+00	0.000000e+00
42	2.200000e+00	2.000000e-01	4.880000e+00	4.880000e+00	0.000000e+00
43	2.400000e+00	2.000000e-01	5.800000e+00	5.800000e+00	0.000000e+00
44	2.600000e+00	2.000000e-01	6.800000e+00	6.800000e+00	0.000000e+00
45	2.800000e+00	2.000000e-01	7.880000e+00	7.880000e+00	0.000000e+00
46	3.000000e+00	2.000000e-01	9.040000e+00	9.040000e+00	0.000000e+00
47	3.200000e+00	2.000000e-01	1.028000e+01	1.028000e+01	0.000000e+00
48	3.400000e+00	2.000000e-01	1.160000e+01	1.160000e+01	0.000000e+00
49	3.600000e+00	2.000000e-01	1.300000e+01	1.300000e+01	0.000000e+00
50	3.800000e+00	2.000000e-01	1.448000e+01	1.448000e+01	0.000000e+00
51	4.000000e+00	2.000000e-01	1.604000e+01	1.604000e+01	0.000000e+00
72	2.000000e+00	4.000000e-01	4.160000e+00	4.160000e+00	0.000000e+00
73	2.200000e+00	4.000000e-01	5.000000e+00	5.000000e+00	0.000000e+00
74	2.400000e+00	4.000000e-01	5.920000e+00	5.920000e+00	0.000000e+00
75	2.600000e+00	4.000000e-01	6.920000e+00	6.920000e+00	0.000000e+00
76	2.800000e+00	4.000000e-01	8.000000e+00	8.000000e+00	0.000000e+00
77	3.000000e+00	4.000000e-01	9.160000e+00	9.160000e+00	0.000000e+00
78	3.200000e+00	4.000000e-01	1.040000e+01	1.040000e+01	0.000000e+00
79	3.400000e+00	4.000000e-01	1.172000e+01	1.172000e+01	0.000000e+00
80	3.600000e+00	4.000000e-01	1.312000e+01	1.312000e+01	0.000000e+00
81	3.800000e+00	4.000000e-01	1.460000e+01	1.460000e+01	0.000000e+00
82	4.000000e+00	4.000000e-01	1.616000e+01	1.616000e+01	0.000000e+00
103	2.000000e+00	6.000000e-01	4.360000e+00	4.360000e+00	0.000000e+00
104	2.200000e+00	6.000000e-01	5.200000e+00	5.200000e+00	0.000000e+00
105	2.400000e+00	6.000000e-01	6.120000e+00	6.120000e+00	0.000000e+00
106	2.600000e+00	6.000000e-01	7.120000e+00	7.120000e+00	0.000000e+00
107	2.800000e+00	6.000000e-01	8.200000e+00	8.200000e+00	0.000000e+00
108	3.000000e+00	6.000000e-01	9.360000e+00	9.360000e+00	3.552714e-15
109	3.200000e+00	6.000000e-01	1.060000e+01	1.060000e+01	0.000000e+00
110	3.400000e+00	6.000000e-01	1.192000e+01	1.192000e+01	0.000000e+00
111	3.600000e+00	6.000000e-01	1.332000e+01	1.332000e+01	0.000000e+00
112	3.800000e+00	6.000000e-01	1.480000e+01	1.480000e+01	0.000000e+00
113	4.000000e+00	6.000000e-01	1.636000e+01	1.636000e+01	0.000000e+00
134	2.000000e+00	8.000000e-01	4.640000e+00	4.640000e+00	0.000000e+00
135	2.200000e+00	8.000000e-01	5.480000e+00	5.480000e+00	0.000000e+00
136	2.400000e+00	8.000000e-01	6.400000e+00	6.400000e+00	0.000000e+00
137	2.600000e+00	8.000000e-01	7.400000e+00	7.400000e+00	0.000000e+00
138	2.800000e+00	8.000000e-01	8.480000e+00	8.480000e+00	0.000000e+00
139	3.000000e+00	8.000000e-01	9.640000e+00	9.640000e+00	0.000000e+00
140	3.200000e+00	8.000000e-01	1.088000e+01	1.088000e+01	0.000000e+00
141	3.400000e+00	8.000000e-01	1.220000e+01	1.220000e+01	0.000000e+00
142	3.600000e+00	8.000000e-01	1.360000e+01	1.360000e+01	0.000000e+00
143	3.800000e+00	8.000000e-01	1.508000e+01	1.508000e+01	0.000000e+00
144	4.000000e+00	8.000000e-01	1.664000e+01	1.664000e+01	0.000000e+00
165	2.000000e+00	1.000000e+00	5.000000e+00	5.000000e+00	0.000000e+00
166	2.200000e+00	1.000000e+00	5.840000e+00	5.840000e+00	0.000000e+00
167	2.400000e+00	1.000000e+00	6.760000e+00	6.760000e+00	0.000000e+00
168	2.600000e+00	1.000000e+00	7.760000e+00	7.760000e+00	0.000000e+00
169	2.800000e+00	1.000000e+00	8.840000e+00	8.840000e+00	0.000000e+00
170	3.000000e+00	1.000000e+00	1.000000e+01	1.000000e+01	0.000000e+00
171	3.200000e+00	1.000000e+00	1.124000e+01	1.124000e+01	0.000000e+00
172	3.400000e+00	1.000000e+00	1.256000e+01	1.256000e+01	0.000000e+00
173	3.600000e+00	1.000000e+00	1.396000e+01	1.396000e+01	0.000000e+00
174	3.800000e+00	1.000000e+00	1.544000e+01	1.544000e+01	0.000000e+00
175	4.000000e+00	1.000000e+00	1.700000e+01	1.700000e+01	0.000000e+00
196	2.000000e+00	1.200000e+00	5.440000e+00	5.440000e+00	0.000000e+00
197	2.200000e+00	1.200000e+00	6.280000e+00	6.280000e+00	0.000000e+00
198	2.400000e+00	1.200000e+00	7.200000e+00	7.200000e+00	0.000000e+00
199	2.600000e+00	1.200000e+00	8.200000e+00	8.200000e+00	0.000000e+00
200	2.800000e+00	1.200000e+00	9.280000e+00	9.280000e+00	0.000000e+00
201	3.000000e+00	1.200000e+00	1.044000e+01	1.044000e+01	0.000000e+00
202	3.200000e+00	1.200000e+00	1.168000e+01	1.168000e+01	0.000000e+00
203	3.400000e+00	1.200000e+00	1.300000e+01	1.300000e+01	0.000000e+00
204	3.600000e+00	1.200000e+00	1.440000e+01	1.440000e+01	0.000000e+00
205	3.800000e+00	1.200000e+00	1.588000e+01	1.588000e+01	0.000000e+00
206	4.000000e+00	1.200000e+00	1.744000e+01	1.744000e+01	0.000000e+00
227	2.000000e+00	1.400000e+00	5.960000e+00	5.960000e+00	0.000000e+00
228	2.200000e+00	1.400000e+00	6.800000e+00	6.800000e+00	0.000000e+00
229	2.400000e+00	1.400000e+00	7.720000e+00	7.720000e+00	0.000000e+00
230	2.600000e+00	1.400000e+00	8.720000e+00	8.720000e+00	0.000000e+00
231	2.800000e+00	1.400000e+00	9.800000e+00	9.800000e+00	0.000000e+00
232	3.000000e+00	1.400000e+00	1.096000e+01	1.096000e+01	0.000000e+00
233	3.200000e+00	1.400000e+00	1.220000e+01	1.220000e+01	0.000000e+00
234	3.400000e+00	1.400000e+00	1.352000e+01	1.352000e+01	0.000000e+00
235	3.600000e+00	1.400000e+00	1.492000e+01	1.492000e+01	0.000000e+00
236	3.800000e+00	1.400000e+00	1.640000e+01	1.640000e+01	0.000000e+00
237	4.000000e+00	1.400000e+00	1.796000e+01	1.796000e+01	0.000000e+00
258	2.000000e+00	1.600000e+00	6.560000e+00	6.560000e+00	0.000000e+00
259	2.200000e+00	1.600000e+00	7.400000e+00	7.400000e+00	0.000000e+00
260	2.400000e+00	1.600000e+00	8.320000e+00	8.320000e+00	0.000000e+00
261	2.600000e+00	1.600000e+00	9.320000e+00	9.320000e+00	0.000000e+00
262	2.800000e+00	1.600000e+00	1.040000e+01	1.040000e+01	0.000000e+00
263	3.000000e+00	1.600000e+00	1.156000e+01	1.156000e+01	1.776357e-15
264	3.200000e+00	1.600000e+00	1.280000e+01	1.280000e+01	0.000000e+00
265	3.400000e+00	1.600000e+00	1.412000e+01	1.412000e+01	0.000000e+00
266	3.600000e+00	1.600000e+00	1.552000e+01	1.552000e+01	0.000000e+00
267	3.800000e+00	1.600000e+00	1.700000e+01	1.700000e+01	0.000000e+00
268	4.000000e+00	1.600000e+00	1.856000e+01	1.856000e+01	0.000000e+00
289	2.000000e+00	1.800000e+00	7.240000e+00	7.240000e+00	0.000000e+00
290	2.200000e+00	1.800000e+00	8.080000e+00	8.080000e+00	0.000000e+00
291	2.400000e+00	1.800000e+00	9.000000e+00	9.000000e+00	0.000000e+00
292	2.600000e+00	1.800000e+00	1.000000e+01	1.000000e+01	0.000000e+00
293	2.800000e+00	1.800000e+00	1.108000e+01	1.108000e+01	0.000000e+00
294	3.000000e+00	1.800000e+00	1.224000e+01	1.224000e+01	7.105427e-15
295	3.200000e+00	1.800000e+00	1.348000e+01	1.348000e+01	0.000000e+00
296	3.400000e+00	1.800000e+00	1.480000e+01	1.480000e+01	0.000000e+00
297	3.600000e+00	1.800000e+00	1.620000e+01	1.620000e+01	0.000000e+00
298	3.800000e+00	1.800000e+00	1.768000e+01	1.768000e+01	0.000000e+00
299	4.000000e+00	1.800000e+00	1.924000e+01	1.924000e+01	0.000000e+00
320	2.000000e+00	2.000000e+00	8.000000e+00	8.000000e+00	0.000000e+00
321	2.200000e+00	2.000000e+00	8.840000e+00	8.840000e+00	0.000000e+00
322	2.400000e+00	2.000000e+00	9.760000e+00	9.760000e+00	0.000000e+00
323	2.600000e+00	2.000000e+00	1.076000e+01	1.076000e+01	0.000000e+00
324	2.800000e+00	2.000000e+00	1.184000e+01	1.184000e+01	0.000000e+00
325	3.000000e+00	2.000000e+00	1.300000e+01	1.300000e+01	2.131628e-14
