N	x	y	u	u*	|u - u*|
10	2	0	9.092974e-01	9.092974e-01	0.000000e+00
11	2.200000e+00	0.000000e+00	8.084964e-01	8.084964e-01	0.000000e+00
12	2.400000e+00	0.000000e+00	6.754632e-01	6.754632e-01	0.000000e+00
13	2.600000e+00	0.000000e+00	5.155014e-01	5.155014e-01	0.000000e+00
14	2.800000e+00	0.000000e+00	3.349882e-01	3.349882e-01	0.000000e+00
15	3.000000e+00	0.000000e+00	1.420312e-01	1.411200e-01	9.111812e-04
16	3.200000e+00	0.000000e+00	-5.837414e-02	-5.837414e-02	0.000000e+00
17	3.400000e+00	0.000000e+00	-2.555411e-01	-2.555411e-01	0.000000e+00
18	3.600000e+00	0.000000e+00	-4.425204e-01	-4.425204e-01	0.000000e+00
19	3.800000e+00	0.000000e+00	-6.118579e-01	-6.118579e-01	0.000000e+00
20	4.000000e+00	0.000000e+00	-7.568025e-01	-7.568025e-01	0.000000e+00
41	2.000000e+00	2.000000e-01	8.084964e-01	8.084964e-01	0.000000e+00
42	2.200000e+00	2.000000e-01	6.754632e-01	6.754632e-01	0.000000e+00
43	2.400000e+00	2.000000e-01	5.155014e-01	5.155014e-01	0.000000e+00
44	2.600000e+00	2.000000e-01	3.349882e-01	3.349882e-01	0.000000e+00
45	2.800000e+00	2.000000e-01	1.411200e-01	1.411200e-01	0.000000e+00
46	3.000000e+00	2.000000e-01	-5.750523e-02	-5.837414e-02	8.689150e-04
47	3.200000e+00	2.000000e-01	-2.555411e-01	-2.555411e-01	0.000000e+00
48	3.400000e+00	2.000000e-01	-4.425204e-01	-4.425204e-01	0.000000e+00
49	3.600000e+00	2.000000e-01	-6.118579e-01	-6.118579e-01	0.000000e+00
50	3.800000e+00	2.000000e-01	-7.568025e-01	-7.568025e-01	0.000000e+00
51	4.000000e+00	2.000000e-01	-8.715758e-01	-8.715758e-01	0.000000e+00
72	2.000000e+00	4.000000e-01	6.754632e-01	6.754632e-01	0.000000e+00
73	2.200000e+00	4.000000e-01	5.155014e-01	5.155014e-01	0.000000e+00
74	2.400000e+00	4.000000e-01	3.349882e-01	3.349882e-01	0.000000e+00
75	2.600000e+00	4.000000e-01	1.411200e-01	1.411200e-01	0.000000e+00
76	2.800000e+00	4.000000e-01	-5.837414e-02	-5.837414e-02	0.000000e+00
77	3.000000e+00	4.000000e-01	-2.547590e-01	-2.555411e-01	7.821470e-04
78	3.200000e+00	4.000000e-01	-4.425204e-01	-4.425204e-01	0.000000e+00
79	3.400000e+00	4.000000e-01	-6.118579e-01	-6.118579e-01	0.000000e+00
80	3.600000e+00	4.000000e-01	-7.568025e-01	-7.568025e-01	0.000000e+00
81	3.800000e+00	4.000000e-01	-8.715758e-01	-8.715758e-01	0.000000e+00
82	4.000000e+00	4.000000e-01	-9.516021e-01	-9.516021e-01	0.000000e+00
103	2.000000e+00	6.000000e-01	5.155014e-01	5.155014e-01	0.000000e+00
104	2.200000e+00	6.000000e-01	3.349882e-01	3.349882e-01	0.000000e+00
105	2.400000e+00	6.000000e-01	1.411200e-01	1.411200e-01	0.000000e+00
106	2.600000e+00	6.000000e-01	-5.837414e-02	-5.837414e-02	0.000000e+00
107	2.800000e+00	6.000000e-01	-2.555411e-01	-2.555411e-01	0.000000e+00
108	3.000000e+00	6.000000e-01	-4.418801e-01	-4.425204e-01	6.403339e-04
109	3.200000e+00	6.000000e-01	-6.118579e-01	-6.118579e-01	0.000000e+00
110	3.400000e+00	6.000000e-01	-7.568025e-01	-7.568025e-01	0.000000e+00
111	3.600000e+00	6.000000e-01	-8.715758e-01	-8.715758e-01	0.000000e+00
112	3.800000e+00	6.000000e-01	-9.516021e-01	-9.516021e-01	0.000000e+00
113	4.000000e+00	6.000000e-01	-9.936910e-01	-9.936910e-01	0.000000e+00
134	2.000000e+00	8.000000e-01	3.349882e-01	3.349882e-01	0.000000e+00
135	2.200000e+00	8.000000e-01	1.411200e-01	1.411200e-01	0.000000e+00
136	2.400000e+00	8.000000e-01	-5.837414e-02	-5.837414e-02	0.000000e+00
137	2.600000e+00	8.000000e-01	-2.555411e-01	-2.555411e-01	0.000000e+00
138	2.800000e+00	8.000000e-01	-4.425204e-01	-4.425204e-01	0.000000e+00
139	3.000000e+00	8.000000e-01	-6.114426e-01	-6.118579e-01	4.152434e-04
140	3.200000e+00	8.000000e-01	-7.568025e-01	-7.568025e-01	0.000000e+00
141	3.400000e+00	8.000000e-01	-8.715758e-01	-8.715758e-01	0.000000e+00
142	3.600000e+00	8.000000e-01	-9.516021e-01	-9.516021e-01	0.000000e+00
143	3.800000e+00	8.000000e-01	-9.936910e-01	-9.936910e-01	0.000000e+00
144	4.000000e+00	8.000000e-01	-9.961646e-01	-9.961646e-01	0.000000e+00
165	2.000000e+00	1.000000e+00	1.411200e-01	1.411200e-01	0.000000e+00
166	2.200000e+00	1.000000e+00	-5.837414e-02	-5.837414e-02	0.000000e+00
167	2.400000e+00	1.000000e+00	-2.555411e-01	-2.555411e-01	0.000000e+00
168	2.600000e+00	1.000000e+00	-4.425204e-01	-4.425204e-01	0.000000e+00
169	2.800000e+00	1.000000e+00	-6.118579e-01	-6.118579e-01	0.000000e+00
170	3.000000e+00	1.000000e+00	-7.567687e-01	-7.568025e-01	3.384511e-05
171	3.200000e+00	1.000000e+00	-8.715758e-01	-8.715758e-01	0.000000e+00
172	3.400000e+00	1.000000e+00	-9.516021e-01	-9.516021e-01	0.000000e+00
173	3.600000e+00	1.000000e+00	-9.936910e-01	-9.936910e-01	0.000000e+00
174	3.800000e+00	1.000000e+00	-9.961646e-01	-9.961646e-01	0.000000e+00
175	4.000000e+00	1.000000e+00	-9.589243e-01	-9.589243e-01	0.000000e+00
196	2.000000e+00	1.200000e+00	-5.837414e-02	-5.837414e-02	0.000000e+00
197	2.200000e+00	1.200000e+00	-2.555411e-01	-2.555411e-01	0.000000e+00
198	2.400000e+00	1.200000e+00	-4.425204e-01	-4.425204e-01	0.000000e+00
199	2.600000e+00	1.200000e+00	-6.118579e-01	-6.118579e-01	0.000000e+00
200	2.800000e+00	1.200000e+00	-7.568025e-01	-7.568025e-01	0.000000e+00
201	3.000000e+00	1.200000e+00	-8.716527e-01	-8.715758e-01	7.696408e-05
202	3.200000e+00	1.200000e+00	-9.516021e-01	-9.516021e-01	0.000000e+00
203	3.400000e+00	1.200000e+00	-9.936910e-01	-9.936910e-01	0.000000e+00
204	3.600000e+00	1.200000e+00	-9.961646e-01	-9.961646e-01	0.000000e+00
205	3.800000e+00	1.200000e+00	-9.589243e-01	-9.589243e-01	0.000000e+00
206	4.000000e+00	1.200000e+00	-8.834547e-01	-8.834547e-01	0.000000e+00
227	2.000000e+00	1.400000e+00	-2.555411e-01	-2.555411e-01	0.000000e+00
228	2.200000e+00	1.400000e+00	-4.425204e-01	-4.425204e-01	0.000000e+00
229	2.400000e+00	1.400000e+00	-6.118579e-01	-6.118579e-01	0.000000e+00
230	2.600000e+00	1.400000e+00	-7.568025e-01	-7.568025e-01	0.000000e+00
231	2.800000e+00	1.400000e+00	-8.715758e-01	-8.715758e-01	0.000000e+00
232	3.000000e+00	1.400000e+00	-9.517147e-01	-9.516021e-01	1.126695e-04
233	3.200000e+00	1.400000e+00	-9.936910e-01	-9.936910e-01	0.000000e+00
234	3.400000e+00	1.400000e+00	-9.961646e-01	-9.961646e-01	0.000000e+00
235	3.600000e+00	1.400000e+00	-9.589243e-01	-9.589243e-01	0.000000e+00
236	3.800000e+00	1.400000e+00	-8.834547e-01	-8.834547e-01	0.000000e+00
237	4.000000e+00	1.400000e+00	-7.727645e-01	-7.727645e-01	0.000000e+00
258	2.000000e+00	1.600000e+00	-4.425204e-01	-4.425204e-01	0.000000e+00
259	2.200000e+00	1.600000e+00	-6.118579e-01	-6.118579e-01	0.000000e+00
260	2.400000e+00	1.600000e+00	-7.568025e-01	-7.568025e-01	0.000000e+00
261	2.600000e+00	1.600000e+00	-8.715758e-01	-8.715758e-01	0.000000e+00
262	2.800000e+00	1.600000e+00	-9.516021e-01	-9.516021e-01	0.000000e+00
263	3.000000e+00	1.600000e+00	-9.938158e-01	-9.936910e-01	1.247981e-04
264	3.200000e+00	1.600000e+00	-9.961646e-01	-9.961646e-01	0.000000e+00
265	3.400000e+00	1.600000e+00	-9.589243e-01	-9.589243e-01	0.000000e+00
266	3.600000e+00	1.600000e+00	-8.834547e-01	-8.834547e-01	0.000000e+00
267	3.800000e+00	1.600000e+00	-7.727645e-01	-7.727645e-01	0.000000e+00
268	4.000000e+00	1.600000e+00	-6.312666e-01	-6.312666e-01	0.000000e+00
289	2.000000e+00	1.800000e+00	-6.118579e-01	-6.118579e-01	0.000000e+00
290	2.200000e+00	1.800000e+00	-7.568025e-01	-7.568025e-01	0.000000e+00
291	2.400000e+00	1.800000e+00	-8.715758e-01	-8.715758e-01	0.000000e+00
292	2.600000e+00	1.800000e+00	-9.516021e-01	-9.516021e-01	0.000000e+00
293	2.800000e+00	1.800000e+00	-9.936910e-01	-9.936910e-01	0.000000e+00
294	3.000000e+00	1.800000e+00	-9.962915e-01	-9.961646e-01	1.268837e-04
295	3.200000e+00	1.800000e+00	-9.589243e-01	-9.589243e-01	0.000000e+00
296	3.400000e+00	1.800000e+00	-8.834547e-01	-8.834547e-01	0.000000e+00
297	3.600000e+00	1.800000e+00	-7.727645e-01	-7.727645e-01	0.000000e+00
298	3.800000e+00	1.800000e+00	-6.312666e-01	-6.312666e-01	0.000000e+00
299	4.000000e+00	1.800000e+00	-4.646022e-01	-4.646022e-01	0.000000e+00
320	2.000000e+00	2.000000e+00	-7.568025e-01	-7.568025e-01	0.000000e+00
321	2.200000e+00	2.000000e+00	-8.715758e-01	-8.715758e-01	0.000000e+00
322	2.400000e+00	2.000000e+00	-9.516021e-01	-9.516021e-01	0.000000e+00
323	2.600000e+00	2.000000e+00	-9.936910e-01	-9.936910e-01	0.000000e+00
324	2.800000e+00	2.000000e+00	-9.961646e-01	-9.961646e-01	0.000000e+00
325	3.000000e+00	2.000000e+00	-9.590468e-01	-9.589243e-01	1.225222e-04
326	3.200000e+00	2.000000e+00	-8.834547e-01	-8.834547e-01	0.000000e+00
327	3.400000e+00	2.000000e+00	-7.727645e-01	-7.727645e-01	0.000000e+00
328	3.600000e+00	2.000000e+00	-6.312666e-01	-6.312666e-01	0.000000e+00
329	3.800000e+00	2.000000e+00	-4.646022e-01	-4.646022e-01	0.000000e+00
330	4.000000e+00	2.000000e+00	-2.794155e-01	-2.794155e-01	0.000000e+00
351	2.000000e+00	2.200000e+00	-8.715758e-01	-8.715758e-01	0.000000e+00
352	2.200000e+00	2.200000e+00	-9.516021e-01	-9.516021e-01	0.000000e+00
353	2.400000e+00	2.200000e+00	-9.936910e-01	-9.936910e-01	0.000000e+00
354	2.600000e+00	2.200000e+00	-9.961646e-01	-9.961646e-01	0.000000e+00
355	2.800000e+00	2.200000e+00	-9.589243e-01	-9.589243e-01	0.000000e+00
356	3.000000e+00	2.200000e+00	-8.835674e-01	-8.834547e-01	1.127335e-04
357	3.200000e+00	2.200000e+00	-7.727645e-01	-7.727645e-01	0.000000e+00
358	3.400000e+00	2.200000e+00	-6.312666e-01	-6.312666e-01	0.000000e+00
359	3.600000e+00	2.200000e+00	-4.646022e-01	-4.646022e-01	0.000000e+00
360	3.800000e+00	2.200000e+00	-2.794155e-01	-2.794155e-01	0.000000e+00
361	4.000000e+00	2.200000e+00	-8.308940e-02	-8.308940e-02	0.000000e+00
382	2.000000e+00	2.400000e+00	-9.516021e-01	-9.516021e-01	0.000000e+00
383	2.200000e+00	2.400000e+00	-9.936910e-01	-9.936910e-01	0.000000e+00
384	2.400000e+00	2.400000e+00	-9.961646e-01	-9.961646e-01	0.000000e+00
385	2.600000e+00	2.400000e+00	-9.589243e-01	-9.589243e-01	0.000000e+00
386	2.800000e+00	2.400000e+00	-8.834547e-01	-8.834547e-01	0.000000e+00
387	3.000000e+00	2.400000e+00	-7.728621e-01	-7.727645e-01	9.764704e-05
388	3.200000e+00	2.400000e+00	-6.312666e-01	-6.312666e-01	0.000000e+00
389	3.400000e+00	2.400000e+00	-4.646022e-01	-4.646022e-01	0.000000e+00
390	3.600000e+00	2.400000e+00	-2.794155e-01	-2.794155e-01	0.000000e+00
391	3.800000e+00	2.400000e+00	-8.308940e-02	-8.308940e-02	0.000000e+00
392	4.000000e+00	2.400000e+00	1.165492e-01	1.165492e-01	0.000000e+00
413	2.000000e+00	2.600000e+00	-9.936910e-01	-9.936910e-01	0.000000e+00
414	2.200000e+00	2.600000e+00	-9.961646e-01	-9.961646e-01	0.000000e+00
415	2.400000e+00	2.600000e+00	-9.589243e-01	-9.589243e-01	0.000000e+00
416	2.600000e+00	2.600000e+00	-8.834547e-01	-8.834547e-01	0.000000e+00
417	2.800000e+00	2.600000e+00	-7.727645e-01	-7.727645e-01	0.000000e+00
418	3.000000e+00	2.600000e+00	-6.313426e-01	-6.312666e-01	7.596461e-05
419	3.200000e+00	2.600000e+00	-4.646022e-01	-4.646022e-01	0.000000e+00
420	3.400000e+00	2.600000e+00	-2.794155e-01	-2.794155e-01	0.000000e+00
421	3.600000e+00	2.600000e+00	-8.308940e-02	-8.308940e-02	0.000000e+00
422	3.800000e+00	2.600000e+00	1.165492e-01	1.165492e-01	0.000000e+00
423	4.000000e+00	2.600000e+00	3.115414e-01	3.115414e-01	0.000000e+00
444	2.000000e+00	2.800000e+00	-9.961646e-01	-9.961646e-01	0.000000e+00
445	2.200000e+00	2.800000e+00	-9.589243e-01	-9.589243e-01	0.000000e+00
446	2.400000e+00	2.800000e+00	-8.834547e-01	-8.834547e-01	0.000000e+00
447	2.600000e+00	2.800000e+00	-7.727645e-01	-7.727645e-01	0.000000e+00
448	2.800000e+00	2.800000e+00	-6.312666e-01	-6.312666e-01	0.000000e+00
449	3.000000e+00	2.800000e+00	-4.646433e-01	-4.646022e-01	4.113649e-05
450	3.200000e+00	2.800000e+00	-2.794155e-01	-2.794155e-01	0.000000e+00
451	3.400000e+00	2.800000e+00	-8.308940e-02	-8.308940e-02	0.000000e+00
452	3.600000e+00	2.800000e+00	1.165492e-01	1.165492e-01	0.000000e+00
453	3.800000e+00	2.800000e+00	3.115414e-01	3.115414e-01	0.000000e+00
454	4.000000e+00	2.800000e+00	4.941134e-01	4.941134e-01	0.000000e+00
465	0.000000e+00	3.000000e+00	1.411200e-01	1.411200e-01	0.000000e+00
466	2.000000e-01	3.000000e+00	-5.837414e-02	-5.837414e-02	0.000000e+00
